,country,state,city,station,last_update,latitude,longitude,pollutant_id,min_pollution,max_pollution,avg_pollution
541,India,Uttar_Pradesh,Agra,"Sector-3B Avas Vikas Colony, Agra - UPPCB",2025-04-03 20:00:00,27.19412,77.96237,SO2,14.0,20.0,17.0
542,India,Uttar_Pradesh,Agra,"Shahjahan Garden, Agra - UPPCB",2025-04-03 20:00:00,27.169338,78.03582,PM2.5,32.0,192.0,77.0
543,India,Uttar_Pradesh,Baghpat,"Sardar Patel Inter College, Baghpat - UPPCB",2025-04-03 20:00:00,28.964949,77.278761,PM10,77.0,403.0,223.0
544,India,Uttar_Pradesh,Baghpat,"Sardar Patel Inter College, Baghpat - UPPCB",2025-04-03 20:00:00,28.964949,77.278761,CO,8.0,119.0,28.0
545,India,Uttar_Pradesh,Bareilly,"Civil Lines, Bareilly - UPPCB",2025-04-03 20:00:00,28.359581,79.414455,NO2,1.0,3.0,2.0
546,India,Uttar_Pradesh,Bareilly,"Civil Lines, Bareilly - UPPCB",2025-04-03 20:00:00,28.359581,79.414455,NH3,1.0,2.0,1.0
547,India,Uttar_Pradesh,Bareilly,"Civil Lines, Bareilly - UPPCB",2025-04-03 20:00:00,28.359581,79.414455,SO2,74.0,89.0,79.0
548,India,Telangana,Hyderabad,"Zoo Park, Hyderabad - TSPCB",2025-04-03 20:00:00,17.349694,78.451437,NH3,3.0,9.0,5.0
549,India,Tripura,Agartala,"Bardowali, Agartala - Tripura SPCB",2025-04-03 20:00:00,23.8175497,91.2726974,NH3,2.0,3.0,2.0
550,India,Uttar_Pradesh,Agra,"Manoharpur, Agra - UPPCB",2025-04-03 20:00:00,27.23711,78.01936,NH3,1.0,2.0,2.0
551,India,Uttar_Pradesh,Agra,"Manoharpur, Agra - UPPCB",2025-04-03 20:00:00,27.23711,78.01936,CO,5.0,21.0,8.0
552,India,Uttar_Pradesh,Agra,"Sanjay Palace, Agra - UPPCB",2025-04-03 20:00:00,27.19865833,78.00598056,PM10,78.0,407.0,157.0
553,India,Uttar_Pradesh,Agra,"Sanjay Palace, Agra - UPPCB",2025-04-03 20:00:00,27.19865833,78.00598056,NO2,12.0,129.0,49.0
554,India,TamilNadu,Perundurai,"SIPCOT Industrial Park, Perundurai - TNPCB",2025-04-03 20:00:00,11.258242,77.552761,OZONE,6.0,9.0,8.0
555,India,TamilNadu,Pudukottai,"SIPCOT Nathampannai, Pudukottai - TNPCB",2025-04-03 20:00:00,10.423417,78.784889,NH3,2.0,3.0,3.0
556,India,TamilNadu,Ramanathapuram,"Chalai Bazaar, Ramanathapuram - TNPCB",2025-04-03 20:00:00,9.36399,78.831977,NH3,1.0,1.0,1.0
557,India,TamilNadu,Ramanathapuram,"Chalai Bazaar, Ramanathapuram - TNPCB",2025-04-03 20:00:00,9.36399,78.831977,OZONE,12.0,16.0,15.0
558,India,TamilNadu,Salem,"Sona College of Technology, Salem - TNPCB",2025-04-03 20:00:00,11.679111,78.125052,SO2,35.0,38.0,37.0
559,India,Uttar_Pradesh,Bareilly,"Rajendra Nagar, Bareilly - UPPCB",2025-04-03 20:00:00,28.38910936,79.42963708,NH3,1.0,2.0,1.0
560,India,Uttar_Pradesh,Bareilly,"Rajendra Nagar, Bareilly - UPPCB",2025-04-03 20:00:00,28.38910936,79.42963708,CO,10.0,42.0,24.0
561,India,Uttar_Pradesh,Bulandshahr,"Yamunapuram, Bulandshahr - UPPCB",2025-04-03 20:00:00,28.406963,77.849831,CO,14.0,90.0,27.0
562,India,Uttar_Pradesh,Firozabad,"Nagla Bhau, Firozabad - UPPCB",2025-04-03 20:00:00,27.168897,78.37696,NH3,2.0,2.0,2.0
563,India,Uttar_Pradesh,Firozabad,"Vibhab Nagar, Firozabad - UPPCB",2025-04-03 20:00:00,27.1594,78.3953,PM2.5,31.0,265.0,85.0
564,India,Telangana,Hyderabad,"IDA Pashamylaram, Hyderabad - TSPCB",2025-04-03 20:00:00,17.5316895,78.218939,SO2,1.0,11.0,5.0
565,India,Telangana,Hyderabad,"Kokapet, Hyderabad - TSPCB",2025-04-03 20:00:00,17.393559,78.339194,PM10,68.0,81.0,72.0
566,India,TamilNadu,Perundurai,"SIPCOT Industrial Park, Perundurai - TNPCB",2025-04-03 20:00:00,11.258242,77.552761,CO,38.0,47.0,39.0
567,India,Uttar_Pradesh,Lucknow,"Kendriya Vidyalaya, Lucknow - CPCB",2025-04-03 20:00:00,26.906111,80.948222,CO,16.0,116.0,53.0
568,India,Uttar_Pradesh,Lucknow,"Kukrail Picnic Spot-1, Lucknow - UPPCB",2025-04-03 20:00:00,26.90723,80.98579,NO2,23.0,24.0,23.0
569,India,Uttar_Pradesh,Lucknow,"Kukrail Picnic Spot-1, Lucknow - UPPCB",2025-04-03 20:00:00,26.90723,80.98579,SO2,34.0,40.0,36.0
570,India,Uttar_Pradesh,Lucknow,"Lalbagh, Lucknow - CPCB",2025-04-03 20:00:00,26.8458805,80.9365541,NO2,45.0,102.0,67.0
571,India,Uttar_Pradesh,Lucknow,"Lalbagh, Lucknow - CPCB",2025-04-03 20:00:00,26.8458805,80.9365541,OZONE,12.0,35.0,27.0
572,India,Uttar_Pradesh,Lucknow,"Talkatora District Industries Center, Lucknow - CPCB",2025-04-03 20:00:00,26.83399722,80.8917361,PM10,132.0,413.0,231.0
573,India,Uttar_Pradesh,Greater Noida,"Knowledge Park - V, Greater Noida - UPPCB",2025-04-03 20:00:00,28.557054,77.453663,PM2.5,83.0,465.0,341.0
574,India,Uttar_Pradesh,Greater Noida,"Knowledge Park - V, Greater Noida - UPPCB",2025-04-03 20:00:00,28.557054,77.453663,PM10,69.0,425.0,270.0
575,India,Uttar_Pradesh,Greater Noida,"Knowledge Park - V, Greater Noida - UPPCB",2025-04-03 20:00:00,28.557054,77.453663,CO,4.0,108.0,42.0
