country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Gujarat,Ahmedabad,"Gyaspur, Ahmedabad - IITM","03-04-2025 20:00:00",22.977134,72.553024,NH3,2,52,16
India,Gujarat,Ahmedabad,"Gyaspur, Ahmedabad - IITM","03-04-2025 20:00:00",22.977134,72.553024,SO2,49,138,100
India,Gujarat,Nandesari,"GIDC, Nandesari - Nandesari Ind. Association","03-04-2025 20:00:00",22.410802,73.097923,NO2,15,75,29
India,Karnataka,Bengaluru,"RVCE-Mailasandra, Bengaluru - KSPCB","03-04-2025 20:00:00",12.921418,77.502466,NH3,2,4,3
India,Karnataka,Bengaluru,"Sanegurava Halli, Bengaluru - KSPCB","03-04-2025 20:00:00",12.990328,77.5431385,NO2,22,39,28
India,Karnataka,Bengaluru,"Sanegurava Halli, Bengaluru - KSPCB","03-04-2025 20:00:00",12.990328,77.5431385,CO,14,42,34
India,Karnataka,Bengaluru,"Shivapura_Peenya, Bengaluru - KSPCB","03-04-2025 20:00:00",13.0246342,77.5080115,OZONE,24,26,24
India,Karnataka,Bengaluru,"Silk Board, Bengaluru - KSPCB","03-04-2025 20:00:00",12.917348,77.622813,PM10,28,128,77
India,Karnataka,Bengaluru,"Silk Board, Bengaluru - KSPCB","03-04-2025 20:00:00",12.917348,77.622813,NO2,11,54,21
India,Karnataka,Bengaluru,"Silk Board, Bengaluru - KSPCB","03-04-2025 20:00:00",12.917348,77.622813,SO2,10,16,12
India,Karnataka,Chamarajanagar,"Urban, Chamarajanagar - KSPCB","03-04-2025 20:00:00",11.55358,76.55521,PM10,30,55,44
India,Karnataka,Chamarajanagar,"Urban, Chamarajanagar - KSPCB","03-04-2025 20:00:00",11.55358,76.55521,NO2,15,35,29
India,Karnataka,Gadag,"Panchal Nagar, Gadag - KSPCB","03-04-2025 20:00:00",15.411456,75.638133,NO2,4,26,14
India,Karnataka,Gadag,"Panchal Nagar, Gadag - KSPCB","03-04-2025 20:00:00",15.411456,75.638133,SO2,17,20,19
India,Karnataka,Haveri,"Ashwini Nagar, Haveri - KSPCB","03-04-2025 20:00:00",14.791800,75.389600,PM2.5,47,55,50
India,Karnataka,Haveri,"Ashwini Nagar, Haveri - KSPCB","03-04-2025 20:00:00",14.791800,75.389600,SO2,25,30,28
India,Karnataka,Hubballi,"Lingaraj Nagar, Hubballi - KSPCB","03-04-2025 20:00:00",15.3714823,75.1160168,NH3,1,3,2
India,Karnataka,Hubballi,"Lingaraj Nagar, Hubballi - KSPCB","03-04-2025 20:00:00",15.3714823,75.1160168,SO2,1,2,2
India,Karnataka,Belgaum,"Ramteerth Nagar, Belgaum - KSPCB","03-04-2025 20:00:00",15.888653,74.541751,NO2,42,96,64
India,Karnataka,Belgaum,"Ramteerth Nagar, Belgaum - KSPCB","03-04-2025 20:00:00",15.888653,74.541751,NH3,2,4,3
India,Karnataka,Bengaluru,"BTM Layout, Bengaluru - CPCB","03-04-2025 20:00:00",12.9135218,77.5950804,NO2,35,41,37
India,Karnataka,Bengaluru,"BTM Layout, Bengaluru - CPCB","03-04-2025 20:00:00",12.9135218,77.5950804,CO,25,32,30
